channel_subscribers,title_word_count,title_char_count,title_upper_ratio,title_has_question,title_has_exclamation,publish_dayofweek,publish_hour,is_weekend,is_prime_time,view_count_log1p,like_count_log1p,comment_count_log1p,channel_subscribers_log1p,duration_seconds_log1p,daily_avg_views_log1p,views_per_subscriber,daily_views_per_subscriber,channel_efficiency,recency_score,prime_time_distance,daily_views_vs_category,title_trend_kw,title_hype_kw,title_kw_count,category_1,category_2,category_10,category_17,category_19,category_20,category_22,category_24,category_25,category_26,category_27,category_28,category_29,is_popular
1670000,9,56,0.16071428571428573,0,0,0,12,0,0,12.86628074212824,9.150696519048667,6.990256500493881,14.328334783195153,6.551080335043404,7.968784517769274,0.231759142659196,0.0017295458407402687,71369.81177191906,0.007407407407407408,7,3.344615459947838,1,0,4,False,False,False,False,False,False,False,False,False,False,True,False,False,1
4440000,15,81,0.13580246913580246,0,0,3,14,0,0,8.405814603432848,4.890349128221754,1.6094379124341003,15.306165159633608,6.20455776256869,3.6692434795970774,0.0010072069803587881,8.608606669733233e-06,39283.98599037893,0.00847457627118644,5,0.04426019444595321,1,0,6,False,False,False,False,False,False,False,False,False,False,True,False,False,0
1710000,11,54,0.12962962962962962,0,0,1,13,0,0,12.895839117930642,9.06554578707295,6.7226297948554485,14.352004513273993,6.677083461247136,8.117011580016666,0.23312793384331354,0.00195905826759087,313244.9213114754,0.008333333333333333,6,3.8791904509762367,1,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,1
318,17,89,0.15730337078651685,0,0,5,10,1,0,0.0,0.0,0.0,5.765191102784844,6.946013991099227,0.0,0.0,0.0,4.588235294117647,0.25,9,0.0,1,0,4,False,False,False,False,False,False,False,True,False,False,False,False,False,0
1670000,7,38,0.07894736842105263,0,0,4,11,0,0,10.132255258600559,6.091309882077698,3.784189633918261,14.328334783195153,7.7488913372555315,5.324911798325684,0.015053883201267545,0.00012238929431924832,71369.81177191906,0.008064516129032258,8,0.2366778123308133,1,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,0
392000,10,50,0.22,0,0,5,17,1,1,11.438535914715576,7.38025578842646,5.017279836814924,12.879019669789754,6.80128303447162,6.477219777143081,0.23681062038107045,0.00165601832434315,71745.08315334773,0.006944444444444444,2,0.44270289696493437,1,0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,1
51500,11,54,0.18518518518518517,0,0,2,15,0,0,8.520985989654934,5.236441962829949,2.5649493574615367,10.849356503939038,7.463936604468925,3.520383451003786,0.09743500126211141,0.0006368300736085713,7068.379781420765,0.006493506493506494,4,0.02236656426475804,1,0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,0
36700,8,43,0.13953488372093023,0,0,3,11,0,0,9.658290091690503,0.0,3.58351893845611,10.510559281627845,6.6895992691789665,5.0300571140763335,0.42641889866761123,0.004139989307452536,4406.749482401657,0.009615384615384616,8,0.17594401636126974,1,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,0
237000,9,50,0.14,0,0,2,23,0,0,13.382054842354183,8.933664178700935,6.591673732008658,12.37581963951765,6.594413459749778,7.7548609317927895,2.7352795979763798,0.009839135244519353,30356.903870162296,0.0035842293906810036,4,1.59025642774426,1,0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,1
610000,8,40,0.075,1,0,1,20,0,1,12.151040792485565,6.2166061010848646,3.4657359027997265,13.321215875492413,6.018593214496234,7.372540483973027,0.31031096670333325,0.002607655182380952,46032.07377979569,0.008333333333333333,1,1.8419510909729906,1,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,1
1670000,9,60,0.11666666666666667,0,0,0,12,0,0,12.42926819549243,9.032050676295599,6.131226489483141,14.328334783195153,7.114769448366463,7.585584955875062,0.1497076947858115,0.0011788007463449726,71369.81177191906,0.0078125,7,2.2795783190897936,1,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,1
43600,11,48,0.16666666666666666,1,0,4,22,0,1,7.349230824613334,4.204692619390966,0.6931471805599453,10.682835364853922,6.884486652042782,2.675047795298585,0.03564138437191808,0.00030992508149493977,6397.705544933078,0.008620689655172414,3,0.015647701706802367,1,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,0
1670000,10,64,0.140625,0,0,0,11,0,0,13.941435469522418,9.615071877730596,6.180016653652572,14.328334783195153,6.0867747269123065,8.004232484352347,0.6791588747551648,0.0017919759228368463,71369.81177191906,0.002631578947368421,8,3.465343464275642,1,0,2,False,False,False,False,False,False,False,False,False,False,True,False,False,1
696000,8,33,0.24242424242424243,0,0,0,15,0,0,11.151812114432564,7.701200180857446,4.204692619390966,13.453106376097134,6.635946555686647,6.205059105461912,0.10012772970153778,0.0007101257425640977,233823.87719298244,0.007042253521126761,4,0.3370584124784091,1,0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,1
237000,11,59,0.13559322033898305,0,0,4,22,0,1,9.53249633228804,5.6240175061873385,3.332204510175204,12.37581963951765,6.597145701886651,5.072800311044796,0.058227602415179686,0.0006692827863813757,30356.903870162296,0.011363636363636364,3,0.10817325167010287,1,0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1170000,5,28,0.17857142857142858,0,0,6,18,1,1,12.363063573744835,9.18266080286944,6.133398042996649,13.972515161474428,7.025538314638521,7.511575904595014,0.19999641025947842,0.0015624719551521752,152903.57352941178,0.007751937984496124,1,2.1168780917554826,1,0,2,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2110000,7,27,0.2222222222222222,0,0,0,5,0,0,11.078597812176962,4.997212273764115,1.3862943611198906,14.562198979385785,5.438079308923196,5.665949834720429,0.030696193982846454,0.0001364275288126509,19668.12985179958,0.004424778761061947,14,0.1963110403721796,1,0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,0
7070,13,75,0.16,0,1,2,12,0,0,13.650900030835718,9.597845154707354,6.483107351457199,8.863757191604241,2.4849066497880004,8.045417404591143,119.95799745439118,0.44102204946467344,67678.86486486487,0.003663003663003663,7,2.126675320883728,1,1,3,False,False,False,False,False,False,False,False,False,False,False,True,False,1
145000,9,49,0.20408163265306123,0,0,1,16,0,0,7.135687347028144,4.110873864173311,1.0986122886681098,11.884495917930655,6.248042874508429,2.345270012844996,0.008655112723360529,6.507603551398894e-05,9818.98992443325,0.007462686567164179,3,0.010926711319003355,1,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,0
292000,6,25,0.28,0,0,4,21,0,1,13.02436238059689,9.46923709299621,5.594711379601839,12.584512505902088,3.871201010907891,6.99219340395205,1.5524707107167441,0.00372295134464447,43024.248079877114,0.0023923444976076554,2,1.2588357951411355,1,0,2,False,False,False,False,False,False,False,False,False,False,True,False,False,1
6350000,11,61,0.11475409836065574,0,1,4,22,0,1,8.246958032568177,3.9318256327243257,0.0,15.663965528349177,4.110873864173311,2.468723526499906,0.0006007873069626288,1.7019470452199116e-06,46694.00382494218,0.002824858757062147,3,0.012514607157106887,1,0,4,False,False,False,False,False,False,False,False,False,False,True,False,False,0
4980000,18,100,0.2,0,0,5,22,1,1,13.630010755895261,9.502935356288608,7.035268599281097,15.42094064980403,9.67495450393748,9.097522008045976,0.16680478578217153,0.001793599847120124,1049888.6987253765,0.010638297872340425,3,6.09137082846353,1,0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,1
1500000,8,40,0.2,0,0,0,16,0,0,13.228915582717896,9.299815378403785,5.375278407684165,14.220976332738882,6.415096959171596,7.496127892283641,0.3708110861259426,0.001200035877430235,130839.77333333333,0.0032258064516129032,3,2.0844100734486983,1,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,1
654000,10,49,0.24489795918367346,0,0,3,8,0,0,7.776954403322442,4.2626798770413155,1.3862943611198906,13.390864159490155,6.461468176353717,2.90555383136766,0.0036452543650544876,2.6414886703293386e-05,2535.3507909691293,0.007194244604316547,11,0.011781137251834013,1,0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,0
392000,14,77,0.14285714285714285,0,0,0,9,0,0,10.198244538659871,6.336825731146441,5.438079308923196,12.879019669789754,6.717804695023691,5.160537329867415,0.06850747829724924,0.0004419837309499951,71745.08315334773,0.00641025641025641,10,0.11815538223621004,1,0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,0
145000,11,50,0.16,0,1,4,12,0,0,7.322510433997394,4.330733340286331,0.0,11.884495917930655,4.6443908991413725,2.587825161790275,0.010434410797166916,8.483260810704809e-05,9818.98992443325,0.008064516129032258,7,0.01424397494258236,1,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,0
24300,14,70,0.05714285714285714,0,0,3,2,0,0,6.434546518787453,2.4849066497880004,0.6931471805599453,10.098272780745283,7.718685495198466,1.8953001481688954,0.025595654499814824,0.00023268776818013474,588.9820110701107,0.009009009009009009,17,0.007358013797296544,1,0,2,False,False,False,False,False,False,False,True,False,False,False,False,False,0
6350000,13,80,0.125,0,0,1,13,0,0,9.166179476190413,4.624972813284271,0.6931471805599453,15.663965528349177,1.9459101490553132,4.399313329851645,0.0015066139359663092,1.2660621310641256e-05,46694.00382494218,0.008333333333333333,6,0.09309496585841091,1,0,4,False,False,False,False,False,False,False,False,False,False,True,False,False,0
1570000,12,64,0.140625,0,0,2,14,0,0,12.639097795935369,9.176990392294629,6.6039438246004725,14.266586814266963,6.825460036255307,7.65596125825105,0.19642153094170003,0.0013453529516554799,35171.390098164746,0.006802721088435374,5,2.445871008933727,1,0,2,False,False,False,False,False,False,False,False,False,False,True,False,False,1
2810000,10,60,0.13333333333333333,1,0,5,20,1,1,13.006505736984344,9.004053937728395,6.431331081933479,14.848695397181752,3.5553480614894135,6.686983014662736,0.15846969449477064,0.0002850174361416738,45641.43840810199,0.0017953321364452424,1,0.5634668572260391,1,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,1
598,7,37,0.21621621621621623,0,0,5,16,1,0,13.5504676090228,8.974364841846596,6.39024066706535,6.395261598115449,3.332204510175204,7.06821107250345,1280.754590984975,1.9583403531880352,86049.44444444444,0.0015267175572519084,3,1.5368285906740655,1,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,1
6350000,16,88,0.1590909090909091,0,0,5,15,1,0,8.733271845008325,4.330733340286331,1.0986122886681098,15.663965528349177,4.343805421853684,4.363894486350466,0.0009771652004464252,1.2214565005580315e-05,46694.00382494218,0.012345679012345678,4,0.08981506391112852,1,0,4,False,False,False,False,False,False,False,False,False,False,True,False,False,0
2660000,5,21,0.2857142857142857,0,0,0,20,0,1,12.163394763248444,8.439231649946526,3.4965075614664802,14.793837056697662,3.044522437723423,7.642080912262694,0.07204621351646108,0.0007831110164832726,104699.41884984025,0.010752688172043012,1,2.4121400403770314,1,1,3,False,False,False,False,False,False,False,False,False,False,True,False,False,1
